"GeneID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"283665",6.73395716242118,-2.35510981116178,0.826261802571776,-2.85031911656983,0.00436753847652208,0.0276597221072001
"366",144.981116622406,-0.0762246998019051,0.620355735482406,-0.122872563985615,0.902208011735395,0.946313803907872
"3990",12.4405795929109,0.203131044964276,0.497970572284817,0.407917769181136,0.683334046790832,0.804938241985691
"102",3715.95230444387,0.472101779137149,0.175061427439065,2.69677784560209,0.0070013961812217,0.0383122389535858
"664618",65.5327626842445,-0.795446707471597,0.24212964346533,-3.28520992344126,0.00101906414879022,0.0101241549725637
"101928725",15.6033296233559,0.489236514172856,0.471880993353858,1.03677944452826,0.299838657402745,0.479374572444036
"54629",1474.49041860432,0.279605737747948,0.133696265200185,2.09135040032189,0.0364966649161194,0.118728319842279
"79811",2932.41423277821,0.0362145553298906,0.130063155190285,0.278438234693815,0.780675972420302,0.87130808980656
"54778",1191.74989210257,0.206598562714749,0.106957848978994,1.93158860884836,0.0534103029402661,0.153418186595316
"9133",252.215831277971,1.13093702014731,0.430143817385165,2.62920673141894,0.0085584315238079,0.0440916405314356
"4643",1854.39728944354,0.368150391240556,0.157475025086304,2.33783351384635,0.0193958863370561,0.0773236035958501
"92483",26.1763232228775,-0.461315021995754,0.356816031814045,-1.2928651766302,0.196057693424912,0.362552256266886
"145773",69.5980117174884,-0.181131645861501,0.380122050592434,-0.476509177984285,0.633711670284173,0.76913688860769
"2958",474.935521466015,0.40862297517567,0.142057208403137,2.87646772570709,0.00402153318560507,0.0260915196434564
"663",2281.33969216443,0.0684199848693384,0.194039182725592,0.352609116923034,0.724381501773941,0.832747385897675
"302",11939.4766098776,0.20365435638206,0.142648376380554,1.42766683750227,0.15338777567802,0.309429610568934
"79664",1588.70810585244,0.0251525241170249,0.131424547817674,0.191383759995272,0.848224942549331,0.915221006447138
"101928784",119.591119972552,-0.155880139670617,0.254520628874225,-0.612445994495979,0.540242718798063,0.697833678790371
"6095",1737.62584100879,0.0513595982858013,0.221657833075654,0.23170666956882,0.81676585078453,0.895443721067855
"105370846",80.7980265255259,-1.52537141358148,0.400877693802869,-3.80507929765625,0.000141758768148214,0.00254668034183119
"100996876",7.51929061833186,-1.39350152183158,0.737006198521069,-1.89075956841053,0.0586564466375155,0.163387327730937
"105370844",50.0157498026704,-1.20989299981331,0.403068783783789,-3.00170355157623,0.00268473482503475,0.0198685577068123
"102724802",48.879042336542,-1.50457227463376,0.403467511672722,-3.72910390825769,0.000192161906003194,0.00315457133699172
"105370842",45.8645746015032,-1.4506169153988,0.38733078685106,-3.74516295797731,0.00018027672135674,0.00301754454622431
"107984805",1516.73913688369,-1.60793583439379,0.308051784785843,-5.21969329121603,1.79219681520294e-07,2.28099397644386e-05
"105370841",159.942681078889,-1.47783088086869,0.302363007203865,-4.88760478517227,1.02070171633817e-06,8.1046947053246e-05
"105370847",5.28266638451946,-1.51062267353434,1.36713043382134,-1.10495870486324,0.269177483097312,0.446448875041181
"107984782",30.1912929951905,-0.550367438110603,0.75687638824997,-0.727156305381844,0.467130209731663,0.636118653537496
"101928850",8.63025229118837,-1.53392604430373,1.10830203417378,-1.38403250829296,0.166348500948956,0.326444258305937
"107984783",15.809387059478,-1.61279642223915,0.93046434906099,-1.73332425241951,0.0830380524958355,0.205482632902734
"54832",8770.24108535131,0.227146893031174,0.141313317695627,1.60739905293585,0.107966857713458,0.245097892805546
"101928907",7.86559986767228,-0.433513636412364,0.546395922568239,-0.79340569449111,0.427541494075202,0.602709345976295
"145741",93.8887742181879,1.15310396623173,0.71189338682198,1.61977058303546,0.105281567618538,0.241033923645734
"388125",41.892163530442,0.397078715274409,0.339329920913338,1.17018479892853,0.241926608787413,0.417806420441477
"83660",2406.52996590582,-1.33557547203873,0.317331697704268,-4.20876792864038,2.56766938429781e-05,0.000772624995380518
"197003",17.0083977563458,-2.09700166041761,0.543740086463224,-3.85662509096511,0.000114963278899427,0.00221627023421638
"105370855",42.5679220715671,-1.53549617928449,0.413126673540764,-3.7167684335758,0.000201787232736187,0.00325685866741776
"105370854",206.237616720286,-1.25177532067345,0.337812030894451,-3.70553800987796,0.000210942491350746,0.00335175826940049
"7168",7174.3297775488,0.0422988332177324,0.320401643904663,0.132018152910347,0.894969933475017,0.941914709267203
"111064646",828.616011823809,-0.426604569388983,0.254218173938346,-1.67810413700967,0.0933267712692,0.222754754861791
"114294",571.258906452674,0.976411516139098,0.304931021737626,3.20207340852069,0.0013644222304812,0.0122990308316314
"51065",932.688077434434,0.578424777651416,0.176590721083467,3.27551059366262,0.00105471158618777,0.0103417523180741
"51762",1531.84782947216,0.45085712704755,0.243460451675208,1.85187008380738,0.0640444807501061,0.172789064179415
"83464",524.497260971263,-0.0449942281067503,0.272516736125542,-0.16510629309028,0.868860319823093,0.927369188155639
"771",3795.04778115152,1.24273506902708,0.377539701880199,3.29166724145326,0.000995953791503607,0.00997982369535655
"102723344",96.1343802716622,0.617929785328303,0.492274346291978,1.25525490000203,0.209386241568922,0.378418850711138
"9960",1319.23056292783,0.134169026829592,0.17650045991685,0.760162477156143,0.447157470994608,0.620110718435738
"100130855",175.001410838659,0.125050460725,0.171159633010173,0.730607202911962,0.465019111164642,0.634175701571132
"283807",171.287223593735,-0.700933121178386,0.249977126690227,-2.80398903075235,0.00504746222798705,0.030590897587388
"8925",5711.25567393743,-0.181242814633776,0.249054249173599,-0.727724241747204,0.466782407734265,0.635848112601596
"23604",531.618243323349,-0.774409258372563,0.408127297627373,-1.89746988960197,0.0577659491374742,0.161802781081113
"101928988",49.0626920675543,-0.949169523638728,0.485452324194818,-1.95522706624804,0.050556275251616,0.147606783095964
"84191",616.956615165503,0.77829987369915,0.150522857376959,5.17064243439141,2.33290577971351e-07,2.78801103915963e-05
"6642",3492.61958388641,-0.417382785569132,0.19425817428446,-2.14859831307763,0.0316662555316526,0.108141256042015
"79856",2135.09963070819,0.385370517415875,0.176024611895081,2.18929906032444,0.0285751106195474,0.101192541133999
"5479",2791.63990990468,0.365077581454684,0.179794195378158,2.03053041110044,0.0423026531805536,0.130872714193363
"53944",1252.02797281151,0.56154415145658,0.170111596438638,3.30103392839029,0.000963292329386061,0.00980437441028148
"9768",199.156491441649,1.49795098712271,0.487163503367943,3.0748423820069,0.00210613826271931,0.0167119196764533
"9325",560.418951367427,0.260195511269405,0.122457243955016,2.12478660196687,0.0336044232870916,0.112448444281279
"105370861",20.3803372242779,-0.246041822051445,0.377952376085473,-0.650986308380298,0.515055325204218,0.677019079712995
"23060",2408.56161375106,0.0403962932268776,0.123699377524763,0.326568282195202,0.743994436445217,0.846695390059235
"107984736",18.3647592203918,-0.157538886738211,0.350621101819757,-0.449313763263446,0.653205330638029,0.782647125117421
"101930091",44.6137637048569,-0.00126145279437273,0.305024867133899,-0.00413557362134342,0.99670029906325,0.997909555423899
"4947",1053.30056856404,0.108920206307518,0.191638109820201,0.568364019086337,0.569787816922616,0.720575508436628
"107984737",13.4461000593738,-1.36971592805118,0.423097326703258,-3.23735424830948,0.00120643549118101,0.0113258835726211
"348093",129.648309923716,-1.2339337641696,0.445644599050767,-2.76887404626446,0.00562503762759636,0.0329969531275327
"80119",88.1431038946654,0.0420003794592247,0.311917888741131,0.134652038165345,0.89288699572109,0.940733368455702
