"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Negative Regulation Of Interleukin-2 Production (GO:0032703)","4/21",0.000227686071641494,0.00718114266478009,0,0,15.9191429148979,133.522491846237,"PTPRC;LAPTM5;EZR;FOXP3"
"Cellular Response To Chemokine (GO:1990869)","6/59",0.000228755949971133,0.00718114266478009,0,0,7.69811320754717,64.5321655864984,"CCR1;CXCL10;CXCL9;CXCL11;CCL11;CCL22"
"Response To Type I Interferon (GO:0034340)","3/9",0.000249823011841881,0.00769166619151638,0,0,33.7311643835616,279.791840339293,"MX1;ISG15;IFIT1"
"Negative Regulation Of Lymphocyte Activation (GO:0051250)","4/23",0.000329134034832761,0.00994233188240095,0,0,14.2419967444384,114.207219754344,"LAPTM5;PTPN22;SOX11;SAMSN1"
"Regulation Of Toll-Like Receptor 9 Signaling Pathway (GO:0034163)","3/10",0.000352998890927704,0.0104657634143565,0,0,28.9109589041096,229.814531908304,"RSAD2;PTPN22;LILRA4"
"Positive Regulation Of Calcium Ion Transmembrane Transport (GO:1904427)","5/42",0.000367157920713517,0.0106876332920425,0,0,9.16495806150979,72.4922383380995,"CXCL10;CXCL9;CXCL11;CD19;F2R"
"Skeletal System Development (GO:0001501)","9/149",0.000376619121442432,0.0107672716683809,0,0,4.39772727272727,34.6728963347945,"COMP;EPYC;COL10A1;SULF1;PITX1;PHEX;NKX3-2;MATN3;SULF2"
"B Cell Activation (GO:0042113)","7/92",0.000425143245836418,0.0119413041505983,0,0,5.61029411764706,43.5531867261717,"CD86;FCRLA;PTPRC;ITGA4;BLNK;MS4A1;CD22"
"Bone Development (GO:0060348)","5/44",0.000457608058277076,0.0122584703868253,0,0,8.69407603890362,66.8530760370986,"MMP13;PTPRC;EPYC;SULF1;SULF2"
"Extracellular Matrix Disassembly (GO:0022617)","5/44",0.000457608058277076,0.0122584703868253,0,0,8.69407603890362,66.8530760370986,"MMP11;MMP13;KLK4;LCP1;MMP10"
"Positive Regulation Of Interleukin-2 Production (GO:0032743)","4/25",0.000459405511061536,0.0122584703868253,0,0,12.8843069873998,99.0233369422314,"CD86;PTPRC;CD80;CARD11"
"Regulation Of Monocyte Chemotactic Protein-1 Production (GO:0071637)","3/11",0.000480085101012761,0.0126002663396956,0,0,25.2958047945205,193.299085692227,"CD84;OAS1;OAS3"
"T Cell Receptor Signaling Pathway (GO:0050852)","7/95",0.000516537173980021,0.0133383228313228,0,0,5.41820549242424,41.0069475960554,"FYB1;PTPRC;TRBC2;TRBC1;CTLA4;PTPN22;CD3D"
"Regulation Of Interferon-Alpha Production (GO:0032647)","4/26",0.000536674786384002,0.0135046868510739,0,0,12.2980318650422,92.6056342949993,"STAT1;IRF7;TLR7;LILRA4"
"Response To Cytokine (GO:0034097)","8/125",0.000539850067750613,0.0135046868510739,0,0,4.66672622770184,35.1134706602158,"SELL;STAT1;LAMP3;UBD;LEF1;MX1;CXCR4;ISG15"
"T Cell Differentiation (GO:0030217)","5/46",0.000563891099973738,0.0136786310766357,0,0,8.26913372582002,61.8584903294373,"TGFB1;PTPRC;RHOH;PTPN22;FOXP3"
"Cellular Component Disassembly (GO:0022411)","5/46",0.000563891099973738,0.0136786310766357,0,0,8.26913372582002,61.8584903294373,"MMP11;MMP13;KLK4;LCP1;MMP10"
"Regulation Of Immunoglobulin Production (GO:0002637)","4/27",0.000622750175733736,0.0148809407664136,0,0,11.762737188107,86.8250580152184,"CD86;SASH3;PTPRC;FCRL3"
"Regulation Of Chemokine (C-X-C Motif) Ligand 2 Production (GO:2000341)","3/12",0.000633143930864599,0.0149068151957974,0,0,22.4840182648402,165.590585124114,"OAS1;OAS3;LCP1"
"Negative Regulation Of Cell Adhesion (GO:0007162)","6/72",0.0006760934847941,0.0156873285384834,0,0,6.17772884554891,45.0923498949386,"SPN;ADAMDEC1;TGFB1;PTPRC;PTPRO;PLXNC1"
"Cellular Defense Response (GO:0006968)","5/48",0.000687699902445683,0.0157286791973648,0,0,7.88372093023256,57.4105014694095,"SPN;CXCL9;FCMR;TRAT1;CCR5"
"Cellular Response To Cytokine Stimulus (GO:0071345)","13/308",0.000698280948549868,0.0157457436426527,0,0,3.03317706455103,22.0417611397687,"CCR1;SELPLG;CCL11;CCL22;STAT1;LEF1;CXCR4;IFIT1;LILRA4;OAS1;IL21R;IL12RB1;IL9R"
"Hemopoiesis (GO:0030097)","7/101",0.000746019047478874,0.0165885624307455,0,0,5.07081117021277,36.513691327689,"SFRP2;TGFB1;PTPRC;RTKN2;INHBA;EVI2B;RUNX2"
"Regulation Of Macrophage Cytokine Production (GO:0010935)","3/13",0.00081413160313134,0.0175788097045135,0,0,20.2345890410959,143.936493602717,"SEMA7A;TGFB1;LAPTM5"
"Heparan Sulfate Proteoglycan Metabolic Process (GO:0030201)","3/13",0.00081413160313134,0.0175788097045135,0,0,20.2345890410959,143.936493602717,"SULF1;HS6ST3;SULF2"
"Positive Regulation Of B Cell Proliferation (GO:0030890)","4/29",0.00082349202238508,0.0175788097045135,0,0,10.820618556701,76.8475644119293,"SASH3;PTPRC;FCRL3;TNFSF13B"
"Regulation Of Release Of Sequestered Calcium Ion Into Cytosol (GO:0051279)","5/51",0.000910121854028822,0.0191724353723703,0,0,7.36844077961019,51.5933217409032,"CXCL10;CXCL9;CXCL11;CD19;F2R"
"Immunoglobulin Mediated Immune Response (GO:0016064)","4/30",0.000939250298817966,0.0195290873819164,0,0,10.4039122389638,72.5197269579841,"CD19;IL21R;IL9R;GAPT"
"Regulation Of T Cell Proliferation (GO:0042129)","6/77",0.000964970408526225,0.0198066362057755,0,0,5.74121545884302,39.8636307522133,"CD86;SPN;PTPRC;CD6;CD80;FOXP3"
