"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_SLC_MEDIATED_TRANSMEMBRANE_TRANSPORT",0.0551020408163265,0.0916143188636562,0.276500599254472,0.246227750178654,1.27339905451657,210,"SLC30A1;SLC24A2;SLC20A1;SLC40A1;SLC4A8;SLC38A1;SLC33A1;SLC30A5;SLC44A4;SLC7A5;SLC12A3;SLC15A3;SLC6A6;EMB;SLC6A12;SLC35D1;SLC15A4;SLC35A2;SLC29A3;SLC24A5;SLC30A8;SLC16A3;SLC39A14;SLC7A11;SLC7A7;SLC50A1;SLC35A3;SLC39A1;ARL2BP;SLC38A2;SLC38A5;SLC22A15;SLC35B3;PDZD11;SLC44A1;SLC1A4;SLC2A6;SLC9A1;SLC2A1;SLC2A10;SLC39A3;SLC39A7;SLC12A7;SLC36A1;SLC4A2;SLC16A1;SLC25A5;RUNX1;SLC5A5;SLC9A2;SLC35B2;SLC5A8;LCN12;SLC5A10;SLC35A1;SLC25A22;SLC5A2;SLC3A2;SLCO2B1;SRI;SLC1A3;SLC7A6;SLC2A13;SLC9A7;BSG;SLC7A1;SLC36A4;SLC20A2;SLC26A6;SLC39A10"
"REACTOME_SIGNALING_BY_CTNNB1_PHOSPHO_SITE_MUTANTS",0.0556065881260412,0.0923124147708171,0.321775918075361,0.524351381449238,1.53053632704144,15,"PPP2CA;GSK3B;PPP2R5E;CSNK1A1;PPP2R1A;AXIN1;PPP2R5C"
"REACTOME_ABERRANT_REGULATION_OF_MITOTIC_G1_S_TRANSITION_IN_CANCER_DUE_TO_RB1_DEFECTS",0.0557768924302789,0.092481243537535,0.271288554688953,0.484778556396282,1.48474116643014,17,"CCNE2;CDKN1A;CDKN1B;E2F3;CDK2;E2F2;RB1;CCNE1;E2F1"
"KEGG_STARCH_AND_SUCROSE_METABOLISM",0.0559006211180124,0.0925725273551361,0.276500599254472,-0.38613460702333,-1.39641166242589,33,"GYS2;GBA3;PGM1;AMY2B;PYGB;TREH;GANC;PYGM;AMY2A;AMY1A;PYGL;AMY1C;AMY1B;UGP2;HK2"
"KEGG_ADHERENS_JUNCTION",0.056,0.0926233128834356,0.271288554688953,0.321692354009545,1.38807824771106,72,"LEF1;ACTB;PTPRJ;PTPN1;PTPN6;RAC2;IQGAP1;ACTG1;CDC42;NECTIN2;ACP1;CSNK2A1;RHOA;WASL;RAC1;CDH1;MAP3K7;TGFBR1;WAS;SRC"
"REACTOME_IL_6_TYPE_CYTOKINE_RECEPTOR_LIGAND_INTERACTIONS",0.0575536600082791,0.0950763893274022,0.321775918075361,-0.498792610197531,-1.51388629265147,16,"CNTFR;LIFR;CRLF1;IL11RA;CTF1"
"REACTOME_KSRP_KHSRP_BINDS_AND_DESTABILIZES_MRNA",0.0577689243027888,0.0952555930861964,0.266350657088526,0.480122255503995,1.47048021877302,17,"YWHAZ;PARN;DCP2;EXOSC6;EXOSC9;EXOSC1;AKT1;MAPK14;EXOSC3;EXOSC4"
"REACTOME_SIGNALLING_TO_ERKS",0.0578034682080925,0.0952555930861964,0.261663521711573,0.390746911618408,1.42962592010133,33,"KRAS;NRAS;MAPKAPK2;RAP1A;YWHAB;RIT1;GRB2;RALA;SRC;MAPKAPK3;RALB;MAPK1;FRS2;MAPK13;MAPK14;SHC1"
"REACTOME_CONSTITUTIVE_SIGNALING_BY_AKT1_E17K_IN_CANCER",0.05859375,0.0964400183150183,0.261663521711573,0.42829159461619,1.46622361864887,26,"CDKN1A;RPS6KB2;CDKN1B;CHUK;PDPK1;GSK3B;FOXO6;RICTOR;CREB1;MDM2;AKT1;GSK3A"
"REACTOME_SIGNALING_BY_NTRKS",0.0587044534412955,0.0965043941937395,0.266350657088526,0.271956867364043,1.30084696978986,131,"KRAS;ID2;PTPRO;PPP2CA;NRAS;REST;MAPKAPK2;TRIB1;CLTC;TIAM1;RAP1A;YWHAB;BAX;JUNB;SGK1;RIT1;AP2M1;AP2S1;RPS6KA1;RHOA;CDK5;RAC1;ATF2;ELK1;VGF;GRB2;RALA;SRC;CHD4;CREB1;AP2B1;ATF1;PIK3CB;TCF12;MEF2D;ADORA2A;MAPKAPK3;VRK3"
"KEGG_BASE_EXCISION_REPAIR",0.0597302504816956,0.0980711055412005,0.257206466468838,0.387721526545526,1.41855694222876,33,"MBD4;POLD4;NEIL3;TDG;POLB;PCNA;PARP1;APEX2;FEN1;MPG;POLE3;APEX1;PARP4;HMGB1;SMUG1;LIG1;NTHL1;UNG"
