"pathway","pval","padj","log2err","ES","NES","size","leadingEdge"
"REACTOME_COMPLEX_IV_ASSEMBLY",0.00293831883278321,0.00652529454133734,0.431707695803346,0.449853116644385,1.73859416111867,43,"COX7A2;COQ10B;COX17;NDUFA4;COX6C;RAB5IF;COX8A;COA1;SCO2;TMEM223;COX7B;COX7A2L;COX5A;COX6B1;HIGD1A;PET100;COX6A1;PNKD;COX16"
"REACTOME_REGULATION_OF_TP53_ACTIVITY_THROUGH_ACETYLATION",0.00324796827421417,0.00720108755533009,0.431707695803346,0.493499967019895,1.74789250123047,30,"MEAF6;PIP4K2A;PIP4P1;PIP4K2C;BRD7;RBBP7;HDAC1;RBBP4;KAT6A;CHD4;BRPF3;GATAD2B;ING2;AKT1;PIN1;HDAC2;MTA2"
"REACTOME_ABORTIVE_ELONGATION_OF_HIV_1_TRANSCRIPT_IN_THE_ABSENCE_OF_TAT",0.00327359327046043,0.00724598313395839,0.431707695803346,0.539546429851747,1.77946812634259,23,"POLR2K;POLR2B;SUPT4H1;POLR2D;POLR2G;POLR2J;NCBP2;POLR2H;NELFCD;POLR2C;CTDP1;NCBP1;NELFE"
"REACTOME_E2F_MEDIATED_REGULATION_OF_DNA_REPLICATION",0.00333008793358506,0.0073589484171683,0.431707695803346,0.551371807445651,1.7984847097256,22,"PPP2CA;CCNB1;CDK1;PRIM1;ORC6;RB1;ORC3;E2F1;ORC2;PPP2R1A;ORC5;MCM8;PRIM2;ORC1"
"REACTOME_POLYMERASE_SWITCHING_ON_THE_C_STRAND_OF_THE_TELOMERE",0.00341336383868201,0.00753062922183855,0.431707695803346,0.526322565645163,1.80182517349743,26,"TINF2;POLD4;RFC4;PCNA;DSCC1;PRIM1;POT1;TERF2IP;RFC5;CHTF8;TERF1;PRIM2;RFC2"
"KEGG_FOCAL_ADHESION",0.00346027655650299,0.00762165489896411,0.431707695803346,0.286349157084493,1.46570224218151,195,"COMP;FN1;COL11A1;RAP1B;ACTB;RAC2;ITGA4;VAV3;IBSP;XIAP;ITGAV;THBS2;THBS1;BIRC3;COL1A2;MAPK9;PIK3CG;ACTG1;COL5A1;PPP1CA;COL1A1;RAP1A;BIRC2;PPP1CC;MYL12A;PARVG;CDC42;DIAPH1;RASGRF1;PAK2;ITGB7;COL5A2;VASP;PAK1;PRKCB;COL6A3;SPP1;RHOA;RAC1;MYL12B;PDPK1;PIK3R5;ELK1;COL3A1;GSK3B;TNR;VAV1;GRB2"
"REACTOME_EUKARYOTIC_TRANSLATION_INITIATION",0.00347915253075355,0.00765073019813341,0.431707695803346,-0.334859080829445,-1.57244067812161,116,"RPL13;RPS6;EIF3L;RPLP2;RPL4;RPL3;RPS9;EIF3K;RPS16;RPL18A;RPS3A;EIF3F;RPL32;RPL13A;RPL23A;EIF4B;RPL37A;RPL7;RPL22;RPL27;RPS28;RPL34;RPS23;RPS12;RPS5;RPL38;RPL8;RPS8;RPL14;RPS20;RPL31;RPS27A;RPL10;RPL5;EIF2B3;RPL12;UBA52;RPL11;EIF3D;RPL18;RPLP1;RPL35;RPS3;RPS4X;RPL23;RPS19;RPS29;RPL29;RPL26;RPL9;RPL10A;RPL17;RPL21;RPL39;RPL19;RPL37;RPL7A;RPS11;RPL6;RPS7;RPS25;RPS18;RPS14;RPL27A;RPL15;RPS15"
"REACTOME_DEGRADATION_OF_THE_EXTRACELLULAR_MATRIX",0.00353773741984856,0.00776688931914636,0.431707695803346,0.319357746476359,1.53423330495731,136,"CASP3;COL8A1;MMP11;FN1;MMP10;COL12A1;COL11A1;COL10A1;MMP13;MMP1;CTSK;CTSD;COL1A2;COL5A1;CTSB;COL1A1;ADAM8;CAPN13;COL19A1;CTSS;COL5A2;CTSL;MMP14;COL6A3;MMP2;ADAM10;ACAN;SPP1;MMP3;COL8A2;TLL2;TPSAB1;CDH1;COL3A1;COL6A5;HTRA1;CAPN1;ADAM9;CTSV;MMP17;ADAM17;ADAMTS4;PSEN1"
"REACTOME_RESPONSE_OF_MTB_TO_PHAGOCYTOSIS",0.00357710098067975,0.0078405400357013,0.431707695803346,0.537866445423574,1.77392740069363,23,"CORO1A;RAB5A;PGK1;RNF213;ATP6V1H;RAB7A;KPNA1;DUSP16;TRIM27;UBC;MAPK1;UBB;GSK3A;SFPQ;KPNB1"
"REACTOME_GASTRULATION",0.00365634195206442,0.00800121583016694,0.431707695803346,0.354429849682334,1.60115908180172,99,"LEF1;CXCR4;EOMES;PSMA5;PSMC2;PSMA6;PSMA4;PSMA2;PAX2;TRIM33;PSMD6;OCLN;PSMA1;PSMD14;PSMD12;PSMB4;PSMD1;FOXA1;PSMB1;PSMA3;PSMD2;PSMB2;PSMC6;ADRM1;PSMC4;PSMD7;CDH1;CLDN7;PSMA7;PSMB3;MAML1;SEM1;PSMB5;LFNG;PSMD8;PSMD11;PSMD3;MYB;ZIC2;FOXH1;PSMC5;PSMC3;SNAI1;TFAP2A;DLX5;PSMB7;POU3F1;PSMC1"
"REACTOME_CGMP_EFFECTS",0.00381467863922384,0.00833417634631075,0.431707695803346,-0.629659788627032,-1.91108148666995,16,"KCNMB1;PDE9A;PDE2A;PDE11A;PDE5A;KCNMB2;ITPR1;IRAG1"
"REACTOME_ASSEMBLY_OF_COLLAGEN_FIBRILS_AND_OTHER_MULTIMERIC_STRUCTURES",0.00384806853213502,0.00839352165261813,0.431707695803346,0.402646100383168,1.68656734654484,61,"COL8A1;COL24A1;COL12A1;COL11A1;COL10A1;MMP13;LOXL1;COL1A2;LOX;COL5A1;CTSB;COL1A1;CTSS;COL5A2;CTSL;COL6A3;MMP3;COL8A2;TLL2;COL3A1;COL6A5;CTSV"
"KEGG_COLORECTAL_CANCER",0.0040265678536892,0.00875453784963395,0.407017918923954,0.394639866364079,1.65384425827583,62,"CASP3;KRAS;LEF1;TGFB1;RAC2;MAPK9;PIK3CG;BAX;BIRC5;RHOA;CYCS;RAC1;PIK3R5;GSK3B;TGFBR1;PIK3R3;PIK3CB;TGFB2;MAPK1;MSH6;AXIN1;MSH2;PIK3CD;AKT1"
"REACTOME_ACTIVATION_OF_BH3_ONLY_PROTEINS",0.00402230809613104,0.00875453784963395,0.407017918923954,0.48745465469454,1.72648103864235,30,"PMAIP1;YWHAZ;BMF;YWHAQ;YWHAH;BCL2L11;YWHAB;DYNLL1;BBC3;DYNLL2;E2F1;TP73;TP53BP2;AKT1"
"REACTOME_TRANSLATION_OF_SARS_COV_1_STRUCTURAL_PROTEINS",0.00410318658282575,0.00890675606062658,0.407017918923954,0.509291689215804,1.78873986595763,29,"PARP9;GALNT1;PARP14;CANX;UBE2I;SUMO1;ST6GAL1;GSK3B;PARP8;GANAB;PARP10;UBC;ST6GALNAC4;ST3GAL1;UBB;GSK3A;PARP4;MOGS"
"REACTOME_ANCHORING_OF_THE_BASAL_BODY_TO_THE_PLASMA_MEMBRANE",0.00411336216240849,0.00891448905936761,0.407017918923954,0.350397636081965,1.57963086914882,96,"CEP97;MAPRE1;RAB11A;PLK1;NEDD1;CDK1;NEK2;CEP135;PLK4;RAB8A;CCP110;DYNLL1;CKAP5;TUBA1A;HAUS2;HSP90AA1;RAB3IP;CETN2;SEPTIN2;CEP83;IQCB1;CEP70;TUBA4A;PPP2R1A;TUBB;CSNK1D;HAUS1;TMEM67;CEP43;CEP41;HAUS3;ACTR1A;TUBB4B;CEP250;CEP76;CEP290;ODF2;DYNC1I2;AKAP9;RPGRIP1L;C2CD3;SSNA1;TUBG1;DCTN2;SFI1;TCTN1;MKS1;HAUS8;ALMS1;CNTRL"
"REACTOME_DEADENYLATION_OF_MRNA",0.00415607068027765,0.00899258952971793,0.407017918923954,0.528670961104983,1.79759289751824,25,"EIF4E;EIF4A3;CNOT11;CNOT6;CNOT9;PARN;CNOT2;PAIP1;CNOT1;CNOT8;EIF4G1;CNOT6L;EIF4A2;CNOT7;EIF4A1"
"REACTOME_HSF1_ACTIVATION",0.00418822596600514,0.00904764199066494,0.407017918923954,0.508203266532539,1.78491709585202,29,"RLN1;HSPB1;PTGES3;MRPL18;DNAJB6;RPA3;HSBP1;FKBP4;HSP90AB1;HSP90AA1;DEDD2;HSPH1;SERPINH1;RPA2;HSPA6"
"REACTOME_SYNTHESIS_OF_SUBSTRATES_IN_N_GLYCAN_BIOSYTHESIS",0.00420068804618002,0.00906004397800107,0.407017918923954,0.393717108169319,1.64997719244632,62,"ST8SIA4;GLB1;DPM1;NEU1;NPL;ST6GAL2;NAGK;HK1;GFUS;NUS1;ST6GAL1;CTSA;PMM2;NANS;NANP;AMDHD2;GNPNAT1;GFPT2;GMPPA;PGM3;DOLK;ST6GALNAC4;SLC35A1;SRD5A3;DPM2;NEU3;CMAS;GFPT1;DOLPP1;ST3GAL1;UAP1;FPGT"
"REACTOME_DEVELOPMENTAL_LINEAGES_OF_THE_MAMMARY_GLAND",0.00429422563425286,0.00924699066289593,0.407017918923954,-0.4590878836974,-1.73266813387975,37,"EGFR;MYH11;KRT14;FGF10;MME;KRT5;CNN1;MFGE8;KIT;SLPI;TP63;ALDH1A1;ITGA6;VIM"
"REACTOME_RHOH_GTPASE_CYCLE",0.00434897282125651,0.00934994475766153,0.407017918923954,0.45976967288035,1.72150121030515,37,"RHOH;FAM91A1;CSK;LCK;VANGL1;ARHGDIB;PAK2;PAK1;TFRC;TUBA1B;ZAP70;RAB7A;NIPSNAP2;ARHGDIA;WDR11;DBN1;LAMTOR1;TMEM59;OSBPL11;ROCK1"
"REACTOME_TBC_RABGAPS",0.00444043892138617,0.00953138800323018,0.407017918923954,0.440783694688368,1.73376500713895,44,"ARF6;RAB11A;RAB5A;RAB6A;TBC1D10C;MAP1LC3B;RAB8A;RAB35;RAB7A;RAB33A;GABARAPL2;GGA2;RABEP1;TBC1D10B;RAB8B;TBC1D7;RAB5C;SYTL1;TBC1D2;RAB5B"
"REACTOME_RIBOSOME_QUALITY_CONTROL_RQC_COMPLEX_EXTRACTS_AND_DEGRADES_NASCENT_PEPTIDE",0.00447222306315447,0.00958435085712596,0.407017918923954,0.342554394948266,1.56129948370619,101,"UBE2D1;ELOC;PSMA5;PSMC2;PSMA6;PSMA4;PSMA2;PSMD6;UBE2D2;PSMA1;PSMD14;PSMD12;PSMB4;PSMD1;ELOB;PSMB1;CUL2;PSMA3;RBX1;PSMD2;PSMB2;PSMC6;RPL26L1;ADRM1;PSMC4;PSMD7;LTN1;PSMA7;PSMB3;UFD1;SEM1;PSMB5;RPL39L;PSMD8;PSMD11;PSMD3;UBC"
"REACTOME_RESPONSE_TO_ELEVATED_PLATELET_CYTOSOLIC_CA2",0.00448044353477846,0.009586726801399,0.407017918923954,0.331409742627057,1.57401537928716,121,"FN1;MANF;CAP1;TGFB1;F5;SERPINE1;THBS1;CYRIB;SRGN;PFN1;FAM3C;CFL1;PLEK;PSAP;SOD1;HSPA5;FERMT3;CALU;LAMP2;SCCPDH;PRKCB;ALDOA;WDR1;CD9;TMSB4X;RAB27B;PPIA;CYB5R1;TAGLN2;STXBP2;STXBP3;TIMP1;ORM1;TOR4A;OLA1;BRPF3;SPARC;ABCC4;TMX3;TGFB2;TUBA4A;STX4"
"KEGG_FATTY_ACID_METABOLISM",0.00453795748523163,0.00969440045973414,0.407017918923954,-0.440749733533447,-1.70536815888277,41,"ADH4;ADH6;ADH1A;ADH1C;HADH;ACADVL;ACADS;ACADL;CYP4A11;ADH1B;ALDH9A1;ACAA2;ADH5;ACSL1;CPT1B;ALDH2;ACAT1;ALDH7A1;HADHA;CPT1C;EHHADH;CYP4A22"
"REACTOME_REGULATION_OF_CHOLESTEROL_BIOSYNTHESIS_BY_SREBP_SREBF",0.00456718234301539,0.00974139525060878,0.407017918923954,0.397119167028639,1.61527755188539,55,"HELZ2;SQLE;SEC24A;INSIG2;MTF1;NCOA2;SP1;TBL1XR1;SEC24D;SAR1B;NFYA;RAN;IDI1;TGS1;SEC24C;MBTPS2;GGPS1;HMGCR;MED1;NFYB"
"REACTOME_RECRUITMENT_OF_NUMA_TO_MITOTIC_CENTROSOMES",0.00458991904349224,0.00977442475612565,0.407017918923954,0.349643358686613,1.5776157305472,92,"TUBB3;MAPRE1;TUBA1C;PLK1;NEDD1;CDK1;NEK2;CEP135;PLK4;MZT1;CCP110;TUBA4B;TUBA1B;DYNLL1;CKAP5;TUBA1A;HAUS2;HSP90AA1;CETN2;CEP70;TUBA4A;PPP2R1A;TUBB;CSNK1D;HAUS1;CEP43;CEP41;HAUS3;ACTR1A;TUBB8;TUBB4B;CEP250;MZT2B;CEP76;TUBB1;CEP290;ODF2;DYNC1I2;AKAP9;TUBA3D;SSNA1;MZT2A;TUBG1;TUBA3E;DCTN2;SFI1;NME7"
