"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Ureter Development (GO:0072189)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"TBX18"
"Positive Regulation Of Neurotransmitter Secretion (GO:0001956)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"NLGN1"
"Metanephric Nephron Tubule Development (GO:0072234)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"POU3F3"
"Regulation Of MDA-5 Signaling Pathway (GO:0039533)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"USP17L2"
"Regulation Of SA Node Cell Action Potential (GO:0098907)","1/6",0.125768940001691,0.691571790147271,0,0,8.84705882352941,18.3426854882491,"TBX18"
"Regulation Of Monoatomic Ion Transport (GO:0043269)","2/28",0.127052899468191,0.691571790147271,0,0,3.40676783533926,7.0286790145206,"CLDN10;KCNJ16"
"Regulation Of Protein Transport (GO:0051223)","2/28",0.127052899468191,0.691571790147271,0,0,3.40676783533926,7.0286790145206,"SH3TC2;SAA1"
"Negative Regulation Of Actin Filament Bundle Assembly (GO:0032232)","2/28",0.127052899468191,0.691571790147271,0,0,3.40676783533926,7.0286790145206,"MYOC;ARHGAP6"
"Striated Muscle Contraction (GO:0006941)","3/57",0.132221324019128,0.691571790147271,0,0,2.4625,4.98232223104492,"ATP1A2;DMD;RYR3"
"Regulation Of Monoatomic Ion Transmembrane Transport (GO:0034765)","2/29",0.134556955730548,0.691571790147271,0,0,3.28042328042328,6.57976708081829,"KCNJ16;GRIN2B"
"Cardiac Muscle Cell Action Potential (GO:0086001)","2/29",0.134556955730548,0.691571790147271,0,0,3.28042328042328,6.57976708081829,"ATP1A2;DMD"
"Regulation Of Striated Muscle Contraction (GO:0006942)","2/29",0.134556955730548,0.691571790147271,0,0,3.28042328042328,6.57976708081829,"ATP1A2;DMD"
"Chondrocyte Differentiation (GO:0002062)","2/29",0.134556955730548,0.691571790147271,0,0,3.28042328042328,6.57976708081829,"NFIB;SOX6"
"Response To Alcohol (GO:0097305)","2/29",0.134556955730548,0.691571790147271,0,0,3.28042328042328,6.57976708081829,"GRIN2B;ADH6"
"Positive Regulation Of Neural Precursor Cell Proliferation (GO:2000179)","2/29",0.134556955730548,0.691571790147271,0,0,3.28042328042328,6.57976708081829,"DCT;NES"
"Memory (GO:0007613)","3/58",0.137280749171465,0.691571790147271,0,0,2.41760330578512,4.80070060927556,"NTF4;NTF3;VLDLR"
"Regulation Of Phosphatidylinositol 3-Kinase Signaling (GO:0014066)","4/90",0.139240910605125,0.691571790147271,0,0,2.06293372887641,4.06717632526274,"NTRK2;MYOC;NTRK3;EGFR"
"Negative Regulation Of Epithelial To Mesenchymal Transition (GO:0010719)","2/30",0.142157391667252,0.691571790147271,0,0,3.16310333657272,6.17064665284812,"SFRP1;SPRY2"
"Negative Regulation Of Peptidyl-Tyrosine Phosphorylation (GO:0050732)","2/30",0.142157391667252,0.691571790147271,0,0,3.16310333657272,6.17064665284812,"SFRP1;NTF3"
"Anterior/Posterior Pattern Specification (GO:0009952)","3/59",0.142405250373247,0.691571790147271,0,0,2.37431006493506,4.62771648641322,"HOXA3;HOXD3;HOXA4"
"Regulation Of Epithelial Cell Proliferation (GO:0050678)","4/91",0.14326904226253,0.691571790147271,0,0,2.03911711570183,3.9620677723998,"CDKN1C;SFRP1;EGFR;FGF10"
"Positive Regulation Of MAP Kinase Activity (GO:0043406)","4/91",0.14326904226253,0.691571790147271,0,0,2.03911711570183,3.9620677723998,"GHR;NTRK3;NTF3;EGFR"
"Response To Cytokine (GO:0034097)","5/125",0.144749679651587,0.691571790147271,0,0,1.8490296803653,3.57371096027806,"CITED1;MME;ALDH1A2;LIFR;AKAP6"
"Negative Regulation Of Intracellular Transport (GO:0032387)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"CRYAB"
"Negative Regulation Of Osteoblast Proliferation (GO:0033689)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"SFRP1"
"Regulation Of Mesenchymal Stem Cell Differentiation (GO:2000739)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"SOX6"
"Regulation Of Microvillus Organization (GO:0032530)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"CDHR5"
"Neuron Projection Arborization (GO:0140058)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"NLGN1"
"Regulation Of Positive Chemotaxis (GO:0050926)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"NTRK3"
"Catecholamine Catabolic Process (GO:0042424)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"MAOA"
"Catecholamine Transport (GO:0051937)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"SLC6A2"
"Regulation Of Transforming Growth Factor Beta Activation (GO:1901388)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"TNXB"
"Release Of Sequestered Calcium Ion Into Cytosol By Endoplasmic Reticulum (GO:1903514)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"RYR3"
"Response To Auditory Stimulus (GO:0010996)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"ATP1A2"
"Dopamine Catabolic Process (GO:0042420)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"MAOA"
"Dopamine Uptake (GO:0090494)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"SLC6A2"
"Sinoatrial Node Development (GO:0003163)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"TBX18"
"Positive Regulation Of Gluconeogenesis (GO:0045722)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"PPARGC1A"
"Taurine Metabolic Process (GO:0019530)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"GHR"
"Fructose Metabolic Process (GO:0006000)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"ALDOC"
"Thyroid Gland Development (GO:0030878)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"HOXD3"
"Hair Cell Differentiation (GO:0035315)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"SPINK5"
"Positive Regulation Of Oligodendrocyte Differentiation (GO:0048714)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"PTPRZ1"
"Positive Regulation Of Plasminogen Activation (GO:0010756)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"CLEC3B"
"Positive Regulation Of Synaptic Transmission, GABAergic (GO:0032230)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"NLGN1"
"Intracellular pH Elevation (GO:0051454)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"OCA2"
"Positive Regulation Of Vascular Endothelial Growth Factor Signaling Pathway (GO:1900748)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"TNXB"
"Postsynaptic Density Organization (GO:0097106)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"NLGN1"
"Postsynaptic Membrane Assembly (GO:0097104)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"NLGN1"
"Negative Regulation Of RNA Catabolic Process (GO:1902369)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"PKP1"
"Negative Regulation Of Appetite (GO:0032099)","1/7",0.145138940309084,0.691571790147271,0,0,7.37217194570136,14.2287620989417,"SPX"
"Positive Regulation Of Neuron Projection Development (GO:0010976)","4/92",0.147342647085049,0.691571790147271,0,0,2.01584178919031,3.86032588284936,"NTRK2;NLGN1;NTRK3;VLDLR"
"Regulation Of Long-Term Synaptic Potentiation (GO:1900271)","2/31",0.149846282951578,0.691571790147271,0,0,3.05387442333255,5.79669735490061,"CALB2;FAM107A"
"Positive Regulation Of G1/S Transition Of Mitotic Cell Cycle (GO:1900087)","2/31",0.149846282951578,0.691571790147271,0,0,3.05387442333255,5.79669735490061,"EGFR;FGF10"
"Positive Regulation Of Rho Protein Signal Transduction (GO:0035025)","2/31",0.149846282951578,0.691571790147271,0,0,3.05387442333255,5.79669735490061,"GPR17;SLC6A2"
"Response To Estradiol (GO:0032355)","2/31",0.149846282951578,0.691571790147271,0,0,3.05387442333255,5.79669735490061,"SFRP1;EGFR"
"Presynaptic Endocytosis (GO:0140238)","2/31",0.149846282951578,0.691571790147271,0,0,3.05387442333255,5.79669735490061,"NLGN1;SYT2"
"Modulation Of Excitatory Postsynaptic Potential (GO:0098815)","2/31",0.149846282951578,0.691571790147271,0,0,3.05387442333255,5.79669735490061,"NLGN1;GRIN2B"
"Positive Regulation Of Cell Migration (GO:0030335)","9/272",0.151590387480105,0.691571790147271,0,0,1.52131555430954,2.87007317618254,"SEMA6A;MYOC;DAAM2;NTRK3;NTF3;FAM107A;SPRY2;EGFR;FGF10"
"Anterograde Trans-Synaptic Signaling (GO:0098916)","7/199",0.154095646900155,0.691571790147271,0,0,1.61930189220183,3.02838890417372,"NLGN1;PTCHD1;NPY5R;KCNC4;GRIN2B;SLC6A2;SYN2"
"Gluconeogenesis (GO:0006094)","2/32",0.157616007606927,0.691571790147271,0,0,2.95192743764172,5.45396205136605,"PCK1;PPARGC1A"
"Positive Regulation Of Synapse Assembly (GO:0051965)","2/32",0.157616007606927,0.691571790147271,0,0,2.95192743764172,5.45396205136605,"NLGN1;LRRC4B"
"Muscle Cell Development (GO:0055001)","2/32",0.157616007606927,0.691571790147271,0,0,2.95192743764172,5.45396205136605,"DMD;MYH11"
"Regulation Of Calcium Ion Transmembrane Transporter Activity (GO:1901019)","2/32",0.157616007606927,0.691571790147271,0,0,2.95192743764172,5.45396205136605,"HRC;DMD"
"Positive Regulation Of Supramolecular Fiber Organization (GO:1902905)","4/96",0.164071298949867,0.691571790147271,0,0,1.92780033673368,3.48441080756364,"TNXB;GSN;CDC42EP5;LMOD1"
"Regulation Of Dendritic Spine Maintenance (GO:1902950)","1/8",0.164080715199804,0.691571790147271,0,0,6.31868131868132,11.4203644359136,"GRIN2B"
"Negative Regulation Of Long-Term Synaptic Potentiation (GO:1900272)","1/8",0.164080715199804,0.691571790147271,0,0,6.31868131868132,11.4203644359136,"FAM107A"
"Regulation Of Fibroblast Apoptotic Process (GO:2000269)","1/8",0.164080715199804,0.691571790147271,0,0,6.31868131868132,11.4203644359136,"SFRP1"
"Regulation Of Gap Junction Assembly (GO:1903596)","1/8",0.164080715199804,0.691571790147271,0,0,6.31868131868132,11.4203644359136,"ACE2"
"Angiotensin Maturation (GO:0002003)","1/8",0.164080715199804,0.691571790147271,0,0,6.31868131868132,11.4203644359136,"ACE2"
"Neuronal Ion Channel Clustering (GO:0045161)","1/8",0.164080715199804,0.691571790147271,0,0,6.31868131868132,11.4203644359136,"MYOC"
