"Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Odds.Ratio","Combined.Score","Genes"
"Viral carcinogenesis","5/203",0.18163113644159,0.532784666895331,0,0,1.6986241727621,2.89747467630145,"IRF7;CCR8;PMAIP1;CCR5;CCR4"
"Phagosome","4/152",0.187243008484086,0.54024212283933,0,0,1.81638339370298,3.0430742770651,"COMP;MSR1;FCGR3A;TUBB3"
"Pyrimidine metabolism","2/56",0.200008198794022,0.567765209479803,0,0,2.4840096068765,3.99775740882913,"CMPK2;DCK"
"Human immunodeficiency virus 1 infection","5/212",0.204534438669074,0.571397796916778,0,0,1.624021322672,2.57735255489071,"RAC2;CXCR4;AP1S3;CCR5;CD3D"
"Hippo signaling pathway","4/163",0.220703485437116,0.595503643172283,0,0,1.68977068879812,2.55313396834323,"TGFB1;PPP2R2C;WNT7B;LEF1"
"Mineral absorption","2/60",0.221640289944122,0.595503643172283,0,0,2.31222784512181,3.48383260011702,"SLC40A1;ATP1A3"
"Selenocompound metabolism","1/17",0.223313866189606,0.595503643172283,0,0,4.18558673469388,6.27493547038683,"SEPHS2"
"Toxoplasmosis","3/112",0.229208479284713,0.60209988588223,0,0,1.84705290938796,2.72093667658303,"TGFB1;STAT1;CCR5"
"Basal cell carcinoma","2/63",0.237984454549133,0.615959764715402,0,0,2.19817601969451,3.15559141903183,"WNT7B;LEF1"
"Sphingolipid signaling pathway","3/119",0.256726734520574,0.654839206893058,0,0,1.734972838923,2.35911725894217,"CERS6;PPP2R2C;RAC2"
"Axon guidance","4/182",0.28163359437616,0.698448571730955,0,0,1.50793466929225,1.91077694861378,"SEMA7A;RAC2;CXCR4;PLXNC1"
"Adherens junction","2/71",0.281760503368738,0.698448571730955,0,0,1.94252361873671,2.46059048699881,"LEF1;RAC2"
"Proximal tubule bicarbonate reclamation","1/23",0.289627406683455,0.705682695235615,0,0,3.04313543599258,3.77093166611824,"ATP1A3"
"Lysosome","3/128",0.292697936092045,0.705682695235615,0,0,1.60931506849315,1.97722724336728,"LAMP3;LAPTM5;AP1S3"
"Relaxin signaling pathway","3/129",0.296720571626227,0.70571379197589,0,0,1.59646118721461,1.93964353928955,"TGFB1;MMP13;RLN1"
"Natural killer cell mediated cytotoxicity","3/131",0.304775272262555,0.70639859433462,0,0,1.57135595034247,1.86705463421966,"FCGR3A;SH2D1A;RAC2"
"Salmonella infection","5/249",0.30663127468155,0.70639859433462,0,0,1.37514132278123,1.62556736423308,"CYFIP2;PTPRC;TUBB3;LEF1;RHOH"
"Gastric acid secretion","2/76",0.309049385021396,0.70639859433462,0,0,1.81081081081081,2.12635218692389,"ATP1A3;EZR"
"Pathogenic Escherichia coli infection","4/197",0.331376577195242,0.74772150751747,0,0,1.38966935526948,1.53488960116546,"CYFIP2;TUBB3;F2R;EZR"
"Focal adhesion","4/201",0.344748112049857,0.76804642684525,0,0,1.36117361801594,1.44956991873492,"COMP;ITGA4;FN1;RAC2"
"Signaling pathways regulating pluripotency of stem cells","3/143",0.353171291153627,0.776976840537979,0,0,1.43578767123288,1.49437081717126,"WNT7B;INHBA;SKIL"
"Asthma","1/31",0.369349390938394,0.802536948211818,0,0,2.23072562358277,2.22182998951885,"CCL11"
"Gastric cancer","3/149",0.37725706805458,0.803114688399891,0,0,1.37636048039032,1.34171534792988,"TGFB1;WNT7B;LEF1"
"PD-L1 expression and PD-1 checkpoint pathway in cancer","2/89",0.378741586006767,0.803114688399891,0,0,1.53920991722569,1.49442065959186,"STAT1;CD3D"
"cAMP signaling pathway","4/216",0.39487369490241,0.827354408366954,0,0,1.26389159048175,1.17439457377704,"CAMK4;F2R;RAC2;ATP1A3"
"TGF-beta signaling pathway","2/94",0.404796349509423,0.828428939788526,0,0,1.45518622941089,1.316028486044,"TGFB1;INHBA"
"Staphylococcus aureus infection","2/95",0.409945446093094,0.828428939788526,0,0,1.4394656684649,1.28361642838899,"FCGR3A;SELPLG"
"Aldosterone-regulated sodium reabsorption","1/37",0.42323074868175,0.828428939788526,0,0,1.85837112622827,1.5978976357838,"ATP1A3"
"PI3K-Akt signaling pathway","6/354",0.423449261330602,0.828428939788526,0,0,1.15481446128147,0.992356987502552,"COMP;ITGA4;PPP2R2C;CD19;F2R;FN1"
"Aldosterone synthesis and secretion","2/98",0.425259908533883,0.828428939788526,0,0,1.39426905574516,1.19217637538831,"CAMK4;ATP1A3"
"Hepatitis B","3/162",0.428702048760239,0.828428939788526,0,0,1.26298785215818,1.06974202948292,"TGFB1;STAT1;IRF7"
"Melanogenesis","2/101",0.440365691669813,0.828428939788526,0,0,1.35181163167511,1.1086880120836,"WNT7B;LEF1"
"Amoebiasis","2/102",0.445352648717568,0.828428939788526,0,0,1.3382252559727,1.08247547713766,"TGFB1;FN1"
"Nicotine addiction","1/40",0.448425299450826,0.828428939788526,0,0,1.715157858015,1.37557918692151,"CHRNA6"
"Hepatocellular carcinoma","3/168",0.45195140276355,0.828428939788526,0,0,1.21668742216687,0.96626957242639,"TGFB1;WNT7B;LEF1"
"C-type lectin receptor signaling pathway","2/104",0.45525185350056,0.828428939788526,0,0,1.31185170313859,1.03230199409173,"CCL22;STAT1"
"Tight junction","3/169",0.455789354417369,0.828428939788526,0,0,1.20929608846344,0.950173586545305,"RAP2C;PPP2R2C;EZR"
"Ferroptosis","1/41",0.456577313406176,0.828428939788526,0,0,1.67219387755102,1.3109953714457,"SLC40A1"
"Parathyroid hormone synthesis, secretion and action","2/106",0.465049157189066,0.835190323115058,0,0,1.28649251772119,0.984954321230444,"MMP13;RUNX2"
"Calcium signaling pathway","4/240",0.473517649311396,0.841809154331371,0,0,1.13396237404625,0.847711821458835,"CAMK4;F2R;CXCR4;MCOLN2"
"Tuberculosis","3/180",0.497216117276314,0.867970754504706,0,0,1.13350359879266,0.792013540630226,"FCGR3A;TGFB1;STAT1"
"Cholinergic synapse","2/113",0.498502774367631,0.867970754504706,0,0,1.20493189435169,0.838808668134726,"CAMK4;CHRNA6"
"Carbohydrate digestion and absorption","1/47",0.503028505451591,0.867970754504706,0,0,1.4536379769299,0.998806922086457,"ATP1A3"
"Endocytosis","4/252",0.511430190606782,0.873900131522269,0,0,1.07842811218268,0.723133697037656,"RAB31;CAPZA1;CXCR4;CCR5"
"Arginine and proline metabolism","1/50",0.524748024205652,0.888035117886487,0,0,1.36443148688047,0.879836023363404,"P4HA3"
"Thyroid hormone signaling pathway","2/121",0.535061685894442,0.888997824771861,0,0,1.123469182895,0.702587560695177,"STAT1;ATP1A3"
"Transcriptional misregulation in cancer","3/192",0.540536963401458,0.888997824771861,0,0,1.06088280060883,0.652646884327467,"CD86;H3C12;RUNX2"
"Endocrine and other factor-regulated calcium reabsorption","1/53",0.545521392473642,0.888997824771861,0,0,1.2855180533752,0.779040984014915,"ATP1A3"
"Glycosaminoglycan biosynthesis","1/53",0.545521392473642,0.888997824771861,0,0,1.2855180533752,0.779040984014915,"HS6ST3"
"Legionellosis","1/57",0.571818176149573,0.918330645489273,0,0,1.19345238095238,0.667061366106342,"EEF1A2"
"Endometrial cancer","1/58",0.578151890764296,0.918330645489273,0,0,1.17245494689104,0.642409941116087,"LEF1"
